measure,pattern,diff_during_pre,se_during_pre,p_during_pre,diff_after_pre,se_after_pre,p_after_pre,diff_after_during,se_after_during,p_after_during,diff_during_after,se_during_after,p_during_after,mean_pre,n_pre,mean_during,n_during,mean_after,n_after
cogproc,Other/mixed,0.22486431643573618,0.21934770383308186,0.15271404410675063,-0.13398060556130056,0.22489691820003166,0.2757105955967941,-0.35884492199703677,0.19453930131189406,0.03262961584510968,0.35884492199703677,0.19453930131189406,0.03262961584510968,11.561127110111624,446,11.882774111351427,731,11.490849086610043,653
insight,No change,-0.01863947247865338,0.10112250894832861,0.42688922353060815,-0.09117559276201896,0.10346965515164011,0.18916762551077482,-0.07253612028336558,0.09008316529973742,0.21040082593755105,0.07253612028336558,0.09008316529973742,0.21040082593755105,2.616855506918526,446,2.6173659554097854,731,2.5382505552003036,653
cause,No change,-0.020689810571282136,0.054404425947545375,0.35188478504923926,-0.0032404568942132174,0.05568618650700681,0.47680126911843995,0.01744935367706892,0.04857746415725309,0.3597409630480014,-0.01744935367706892,0.04857746415725309,0.3597409630480014,1.3182622669196256,446,1.2992963734160328,731,1.3169399801011001,653
discrep,No change,0.07951939263701721,0.06950471455834162,0.12636885697035802,0.08417146193739866,0.07121367648926036,0.11868840341800142,0.004652069300381451,0.06190055563130123,0.47005023813432617,-0.004652069300381451,0.06190055563130123,0.47005023813432617,1.8761992897016195,446,1.9592059875223111,731,1.9655443084630981,653
tentat,Other/mixed,0.036613349524749185,0.09899963851427146,0.3557748334711939,-0.18375525129560566,0.1014452341292602,0.03512357226379428,-0.22036860082035484,0.08808355722468149,0.006221375974384697,0.22036860082035484,0.08808355722468149,0.006221375974384697,2.8240633335785486,446,2.872766767842551,731,2.6437508830549716,653
certitude,Mid/After > Pre,0.15196647731265026,0.05219589937070706,0.0018205012696185805,0.0713496457011477,0.05346705759541849,0.0911097299847157,-0.08061683161150256,0.04650987622426846,0.04160312685552476,0.08061683161150256,0.04650987622426846,0.04160312685552476,0.786891978181631,446,0.9394295631925395,731,0.8596450914139941,653
differ,No change,-0.024504600071026464,0.09529141003525417,0.3985442919983675,-0.09336109811954178,0.09766342587620798,0.16961263942032595,-0.06885649804851532,0.08466593897079717,0.2080838432380102,0.06885649804851532,0.08466593897079717,0.2080838432380102,3.422029217634555,446,3.4211338913046934,731,3.3408438689375326,653
memory,Other/mixed,0.02124937344184421,0.022078049350009954,0.16797145142311004,0.03932584660145171,0.02257385365266308,0.04082986056038112,0.018076473159607503,0.019758084669412923,0.18018506699678177,-0.018076473159607503,0.019758084669412923,0.18018506699678177,0.07723017807717046,446,0.09875113471679649,731,0.11680532138943342,653
Affect,No change,-0.13091360607214308,0.2996094248326235,0.3311005093901822,0.11653946393863682,0.30714496984954837,0.3522070028172558,0.2474530700107799,0.2663820418506078,0.17652131448109548,-0.2474530700107799,0.2663820418506078,0.17652131448109548,7.165529916437518,446,7.0681206060747135,731,7.307153536246272,653
tone_pos,No change,-0.10598518139931994,0.2704183311410109,0.34757765280767094,0.09403064964792157,0.2773810618317165,0.3673264218604747,0.20001583104724152,0.24012091986052836,0.20248255139576293,-0.20001583104724152,0.24012091986052836,0.20248255139576293,5.413933624459156,446,5.346061523091497,731,5.521709771581871,653
tone_neg,No change,-0.04587204142543177,0.09653449791442979,0.31735486672829893,0.02581015920806977,0.0988164470327657,0.39698657703290896,0.07168220063350153,0.08620736355089374,0.20289739635388498,-0.07168220063350153,0.08620736355089374,0.20289739635388498,1.3456149825836843,446,1.3033593312799758,731,1.3770404121562716,653
emotion,Other/mixed,-0.1214012095097479,0.19994443588067687,0.2719052039649642,0.11413580849123987,0.2046857386113642,0.2885878613577423,0.23553701800098778,0.17819721645428915,0.09320391416551381,-0.23553701800098778,0.17819721645428915,0.09320391416551381,2.527381160962264,446,2.4304999022146587,731,2.661029769375604,653
emo_pos,Other/mixed,-0.12618234188905028,0.18716576347432284,0.2501429073058249,0.12262699705430856,0.19155773254977,0.26107544745522504,0.24880933894335883,0.16684097564325803,0.06802816832409359,-0.24880933894335883,0.16684097564325803,0.06802816832409359,1.7349045528848237,446,1.6306462677276254,731,1.8725611111175473,653
emo_neg,No change,-0.013739370625607112,0.065077389070253,0.41640719749129196,-0.02211907849053346,0.06656167257629303,0.36984683067300034,-0.00837970786492635,0.058242517216380824,0.44280707695204413,0.00837970786492635,0.058242517216380824,0.44280707695204413,0.6419149013045128,446,0.6286791705938294,731,0.6204556449120394,653
emo_anx,Other/mixed,0.03168378506315963,0.015486685972403028,0.020455913879455053,0.01881863189605622,0.015908488969939454,0.11849536249115951,-0.012865153167103408,0.013689068776956002,0.17371907926546953,0.012865153167103408,0.013689068776956002,0.17371907926546953,0.09201670185065262,446,0.13129248091002524,731,0.11781199433070658,653
emo_anger,No change,0.015815775252147123,0.018173245695316375,0.1921314228315274,0.007060615876155249,0.018580741171271283,0.3519961053884496,-0.008755159375991875,0.016275268808076396,0.2953411212535439,0.008755159375991875,0.016275268808076396,0.2953411212535439,0.09114069150416877,446,0.1068334176514874,731,0.09809755513354043,653
emo_sad,Other/mixed,-0.04667340262072901,0.051511896951347565,0.18250904607077723,-0.10706471892073605,0.05266966139169309,0.021110616290771152,-0.060391316300007034,0.046154356347151565,0.09544026793813035,0.060391316300007034,0.046154356347151565,0.09544026793813035,0.2205248149546053,446,0.17391287300264005,731,0.11355085635834523,653
swear,No change,0.0012513406548719885,0.051138882576645964,0.4902404094513719,0.036580900370004235,0.052393521468652324,0.24257201898886377,0.03532955971513225,0.0455588981068478,0.2190811666980837,-0.03532955971513225,0.0455588981068478,0.2190811666980837,0.3236651101113095,446,0.3244635463308532,731,0.3633315889130287,653
Social,Other/mixed,0.3159236817458536,0.2944364314737484,0.14171144384096937,0.4273267656346298,0.3018056697300172,0.07848756067153985,0.11140308388877618,0.26122489827020356,0.3349099124022102,-0.11140308388877618,0.26122489827020356,0.3349099124022102,10.575962982169969,446,11.023521302599008,731,11.098310758329553,653
socbehav,No change,0.043812553221191604,0.19408956306882372,0.4107169008033059,0.18114941850686392,0.1989937523412962,0.18138503885712598,0.13733686528567232,0.17233884855986384,0.2128062656033609,-0.13733686528567232,0.17233884855986384,0.2128062656033609,4.354969995539853,446,4.4558733503735715,731,4.576908906097152,653
prosocial,No change,-0.1010574553619612,0.16943170781109623,0.27547444093414997,-0.003071269496009771,0.17373253781920064,0.4929487718242739,0.09798618586595143,0.15052970978824623,0.25758273068259596,-0.09798618586595143,0.15052970978824623,0.25758273068259596,1.7156066596518014,446,1.6434815431236576,731,1.7317716023569076,653
polite,No change,-0.023666646568243237,0.1553285754152408,0.4394579214578896,-0.025374187761255163,0.15930299517877589,0.43673193581455744,-0.0017075411930119258,0.13796658275267223,0.49506329896604795,0.0017075411930119258,0.13796658275267223,0.49506329896604795,1.3401474936586693,446,1.3380782497777683,731,1.3234532625283355,653
conflict,No change,-0.011491680693450025,0.021639317246098033,0.2977223991010996,-0.021989826760122292,0.022149067840830067,0.16046689397102126,-0.010498146066672267,0.01930502250196662,0.29332139567946425,0.010498146066672267,0.01930502250196662,0.29332139567946425,0.1716392118732968,446,0.15812362901657961,731,0.14839400110691647,653
moral,Other/mixed,-0.036395033393138106,0.030128595792498415,0.11360378243187419,0.0016252180055348008,0.030833244822090117,0.4789843969365137,0.038020251398672905,0.026918231848116425,0.0789961218582642,-0.038020251398672905,0.026918231848116425,0.0789961218582642,0.22094647081246507,446,0.18444746773036438,731,0.22213137788087012,653
comm,No change,-0.08353890708806765,0.1418103408177549,0.2779372116574249,-0.06475104877723979,0.1455238009736251,0.32820371821910144,0.018787858310827854,0.12582913047056227,0.4406617775506494,-0.018787858310827854,0.12582913047056227,0.4406617775506494,2.446001738500451,446,2.3815733775122627,731,2.385485181200539,653
socrefs,No change,0.21702741935161574,0.186050511696159,0.12178284014424057,0.24237411661109476,0.19072020195843858,0.10197437631756588,0.025346697259479023,0.16522412098567116,0.4390467501722559,-0.025346697259479023,0.16522412098567116,0.4390467501722559,6.0601223384788785,446,6.331796984694583,731,6.340301571995167,653
family,Other/mixed,0.07292322977277657,0.03807136130500347,0.027796483765802935,0.035662039711178845,0.038940571597903297,0.17994455140869403,-0.037261190061597727,0.034069599849527864,0.13712008332086786,0.037261190061597727,0.034069599849527864,0.13712008332086786,0.23230050302953653,446,0.3052481851644495,731,0.26805833583591193,653
friend,Other/mixed,0.01197022725726554,0.03781035550100749,0.3757969834186782,-0.04079495965075538,0.038690637599132834,0.1459222719952182,-0.05276518690802092,0.033755139090228314,0.05909232104176511,0.05276518690802092,0.033755139090228314,0.05909232104176511,0.27048383553333927,446,0.2851215577767692,731,0.23064905279593076,653
female,Other/mixed,-0.03447767520739881,0.04142587040445765,0.20268153512726278,0.04581116121018755,0.04247126343527354,0.14044553592513379,0.08028883641758636,0.03679677338679235,0.01462000789207901,-0.08028883641758636,0.03679677338679235,0.01462000789207901,0.44541058711751563,446,0.4213701118306706,731,0.4996998238876163,653
